docID, likelihood 
401, -1021.7826836556 
402, -935.8700193069 
403, -524.1088450146 
404, -687.1632892613 
405, -767.6628451831 
406, -844.1078828953 
407, -836.4673980833 
408, -639.1194788540 
409, -790.2721430426 
410, -989.9187646775 
411, -888.6030275937 
412, -742.4309215104 
413, -710.0193059138 
414, -918.8337821400 
415, -887.3827830516 
416, -917.3136381948 
417, -772.6331986750 
418, -852.3892157521 
419, -881.1805443635 
420, -845.0541784365 
421, -836.4472496714 
422, -1235.3002418161 
423, -797.6470848749 
424, -1279.7581419104 
425, -891.3864441320 
426, -1043.9423057515 
427, -639.3868956977 
428, -674.5451340373 
429, -564.3766061433 
430, -673.3559339387 
431, -522.6618427699 
432, -610.9610897212 
433, -810.8781015527 
434, -696.7326992457 
435, -843.2349213296 
436, -756.9349351735 
437, -670.1846536589 
438, -902.6508369672 
439, -955.3206162104 
440, -1216.1687346917 
441, -914.9221345909 
442, -784.6186707340 
443, -888.4611114903 
444, -1026.9800768300 
445, -714.0919467380 
446, -453.2205255800 
447, -1059.1674532528 
448, -882.2581065084 
449, -705.9896357513 
450, -708.9636859299 
451, -284.2216246226 
452, -692.7963874821 
453, -660.1250655547 
454, -547.8255716625 
455, -689.6690072339 
456, -761.1558619110 
457, -625.9889897410 
458, -582.8466231657 
459, -592.0128472817 
460, -638.5386832660 
461, -719.8023058445 
462, -709.9346716635 
463, -650.2303476265 
464, -557.5608218790 
465, -670.7611068136 
466, -786.1583697863 
467, -837.7395750879 
468, -693.0390163346 
469, -624.6283347269 
470, -806.2085604764 
471, -759.1888844463 
472, -709.9683939631 
473, -645.8375742490 
474, -922.5999570657 
475, -939.1202584376 
476, -634.6933213856 
477, -726.2931050936 
478, -571.4623427114 
479, -711.2897918312 
480, -770.6448360173 
481, -737.2527138994 
482, -642.3198293716 
483, -610.3899880200 
484, -629.2075888835 
485, -845.0352808373 
486, -831.5290488884 
487, -458.6684317703 
488, -517.6090781639 
489, -731.4190423594 
490, -835.2804328021 
491, -759.6148488426 
492, -546.4603296011 
493, -773.5950512988 
494, -951.7761371722 
495, -883.0168294285 
496, -583.2337519500 
497, -786.1829540220 
498, -760.0508860070 
499, -473.5423013873 
500, -513.6627801092 
501, -579.8544330623 
502, -639.7394739480 
503, -780.4994782018 
504, -996.9489077811 
505, -553.9294946756 
506, -1045.0174420284 
507, -664.4366509119 
508, -813.9318292761 
509, -612.1622204386 
510, -757.3565125783 
511, -819.6916931814 
512, -608.8363635536 
513, -771.6510084652 
514, -638.1574853189 
515, -883.4860499041 
516, -763.8372829426 
517, -797.0353435130 
518, -437.1005963770 
519, -989.3045196465 
520, -492.0414109969 
521, -903.4205270663 
522, -563.5281024833 
523, -1103.4475268939 
524, -824.7313600084 
525, -793.9506788575 
526, -757.2730253800 
527, -751.8104826709 
528, -638.5720249306 
529, -712.1629477083 
530, -662.1305757874 
531, -1006.7206416169 
532, -810.5877274462 
533, -810.6208632399 
534, -791.3240564461 
535, -618.3841040776 
536, -730.7636127444 
537, -826.5998487514 
538, -866.7576882556 
539, -653.9564365910 
540, -814.3166705721 
541, -487.0884746175 
542, -809.3320450828 
543, -488.5569096847 
544, -928.5639588441 
545, -859.2540990889 
546, -538.4049003050 
547, -680.9658548958 
548, -652.4314997129 
549, -878.3293539597 
550, -604.2429713301 
551, -629.7635198604 
552, -709.6889546713 
553, -767.9529565748 
